Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
TLAXCALA,TUXTLA CHICO,73,9300,SALES AGENT,TLAQUEPAQUE,84,COATZACOALCOS,FAMILY DOCTOR,6000,OTHER,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,1700,GRAPHIC DESIGNER,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,LIC. IN PRESCHOOL EDUCATION,64000,PROFESSIONAL,PROFESSIONAL,MOTHER
ATLACOMULCO,PALM BAR,69,9000,ING.,DOCTORS,81,SANTA LUCIA DEL CAMINO,ACADEMIC,6063.48,PRIMARY,WITHOUT SCHOOLING,DAD
CORDOVA,MANAGUA,34,4500,AUTOMOTIVE ELECTRICAL,PARIS,36,ACATLAN,HOME DUTIES,44000,PREPARATORY,PRIMARY,DAD
PANUCO,SAN JOSE BUENA VISTA,41,2400,INDUSTRIAL,BEAUTIFUL LOMA,67,OXTOPULCO,BUSINESSWOMAN,15,PREPARATORY,PREPARATORY,DAD
VERACRUZ,THE FISHES,23,11309,PHYTOTHERAPIST,COACOATZINTLA,22,THE TALL,ACADEMIC,9200,PRIMARY,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,46,8000,EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,14500,PREPARATORY,PROFESSIONAL,MOTHER
ROSES,TLACOJALPAN,37,523305,EMPLOYEE SAFETY,SEATTLE,35,XALAPA-ENRIQUEZ,LIC. IN PRESCHOOL EDUCATION,24000,PROFESSIONAL,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,67,4990,UNEMPLOYED,ACTOPAN,63,XALAPA-ENRIQUEZ,HOUSEWIFE,13706,PRIMARY,PRIMARY,MOTHER
THE DOWN,MORELIA,31,15600,SELLER,THE LOOKER,78,RODRIGUEZ CLARA,MUSIC TEACHER,21000,HIGH SCHOOL,HIGH SCHOOL,DAD
CHAVAXTLA,TALPACHICO,39,42,EXECUTIVE,OTUMBA,73,SANTIAGO TUXTLA,PHOTOGRAPHER,3000,PRIMARY,PREPARATORY,OTHER
EMILIANO ZAPATA,XALAPA - ENRIQUEZ,31,4000,BUSINESSMAN,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,PROFESSOR,10000,HIGH SCHOOL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,32,3,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PROFESSIONAL,PROFESSIONAL,OTHER
PANUCO,TLACHINOLA,41,12500,RAILWAY,THE HUG,32,XALAPA-ENRIQUEZ,DESIGNER,500,HIGH SCHOOL,PRIMARY,DAD
BEAUTIFUL,BIG CORNER,77,33000,BUSINESSMAN,ORANGE TASAJERA,53,PACHUCA,MARKETING,3400,PRIMARY,PROFESSIONAL,MOTHER
CARMEN,OJITAL,70,5000,SYSTEM TECHNIQUE,GUATEMALA,31,TEQUISQUIAPAN,ADVISOR,1530,PROFESSIONAL,WITHOUT SCHOOLING,OTHER
MONTERREY,ANTONIO HIDALGO,70,14500,BUILDER,THE CASTLE,22,RODRIGUEZ CLARA,EXECUTIVE SECRETARY,22000,OTHER,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,45,6060,EMPLOYEE,BUT,44,XALAPA-ENRIQUEZ,HOUSEWIFE,6200,HIGH SCHOOL,HIGH SCHOOL,MOTHER
THE OLD ONE,THE JEWEL,43,8000,ELECTROMECHANICAL,MONTEVIDEO,56,CARMEN CITY,ING. CHEMICAL,3800,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
MOUTH OF THE RIVER,MINATITLAN,62,65000,PENSIONER,XALAPA-ENRIQUEZ,59,CUERNAVACA,EMPLOYEE,10300,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,8000,TEACHER,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,PROFESSOR,800,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,5000,GOVERNMENT EMPLOYEE,XALAPA-ENRIQUEZ,31,XALAPA-ENRIQUEZ,GOVERNMENT EMPLOYEE,6000,PRIMARY,PROFESSIONAL,MOTHER
XOLOXTLA,NAOLINCO,65,4850,CORVETTE CAPTAIN,VEST,55,GUSTAVO A. MADERO,PENSIONED,12000,PREPARATORY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,BLUE HILL,47,2500,EMPLOYEE,XALAPA-ENRIQUEZ,48,XALAPA-ENRIQUEZ,EMPLOYEE,14000,PREPARATORY,PROFESSIONAL,MOTHER
TIHUATLAN,VILLA ISLA,77,50000,OPTOMETRIST,OZULUAMA,62,LONG STEP,PROFESSOR,3440,PREPARATORY,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,27,2000,EMPLOYEE,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,EMPLOYEE,1600,PREPARATORY,PREPARATORY,MOTHER
NETZAHUALCOYOTL CITY,GRENADE,36,3132,PUBLIC SERVER,THE LINGERIE,29,ORANGES,PRESCHOOL TEACHER,10850,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,12000,EMPLOYEE,THE CHOAPAS,30,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
ZACATACAS,STEP OF THE MALE,57,8400,EMPLOYEE SAFETY,ORANGE TASAJERA,30,THE ESTANZUELA,DENTAL PROSTHESIST,5900,PROFESSIONAL,WITHOUT SCHOOLING,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,40,5000,EMPLOYEE,CUAUHTEMOC,41,XALAPA-ENRIQUEZ,EMPLOYEE,4200,PROFESSIONAL,PROFESSIONAL,MOTHER
COMFORT TAPE,KEEP,36,7424,LABORER,SAN JOSE TEPOZOTE,61,HUATUSCO,RECEPTIONIST,41000,HIGH SCHOOL,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,2000,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,3,BUSINESSMAN,STEP OF THE MALE,44,XALAPA-ENRIQUEZ,HOUSEWIFE,12,HIGH SCHOOL,PRIMARY,MOTHER
XICO,TLAMATOCA,35,6638,ANTHROPOLOGIST,XIHUITLAN,74,TUXPAN,ING. INDUSTRIAL,12500,PROFESSIONAL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,VERACRUZ,34,6000,BUSINESSMAN,MARTINEZ DE LA TORRE,33,XALAPA-ENRIQUEZ,DENTIST,10000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,68,33000,TEACHER,XALAPA-ENRIQUEZ,54,XALAPA-ENRIQUEZ,RETIRED,20000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TAPACHULA,32,70000,BANKING SUPERVISOR,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,PUBLIC SERVER,1550,PROFESSIONAL,PREPARATORY,MOTHER
COATEPEC,FEDERAL DISTRICT,46,4000,EMPLOYEE,FEDERAL DISTRICT,44,COATEPEC,HOUSEWIFE,10000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
OCOZOCOAUTLA,THE GLORY,34,38000,FEDERAL EMPLOYEE,SANTIAGO TILANLONGO,77,CHICONTEPEC,LAWYER,5.5,WITHOUT SCHOOLING,PRIMARY,OTHER
LONG BEACH,PLAIN OF BURAS,67,9000,RANCHER,SAN JUAN PASS,57,COLOGNE URSULO GALVAN,RESEARCHER,8600,PRIMARY,OTHER,MOTHER
COVE,VEST,73,2120,SALES AGENT,THE MONERA,66,ACCEPT,BUSINESSMAN,4400,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,9000,EMPLOYEE,INDEPENDENCE,31,XALAPA-ENRIQUEZ,EMPLOYEE,3700,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,NAOLINCO,27,10000,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,BUENOS AIRES,74,3545,PENSIONER,MAPASTEPEC,53,MAPASTEPEC,HOUSEWIFE,7500,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,MINATITLAN,38,3,EMPLOYEE,ACAPULCO,37,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PROFESSIONAL,PROFESSIONAL,OTHER
MOUTH OF THE RIVER,KILATE CONGREGATION,38,72000,SHOOTING GUARD,TLALIXCOYAN,35,CUAUTITLAN IZCALLI,OPHTHALMOLOGIST,19500,OTHER,WITHOUT SCHOOLING,OTHER
FORTIN OF THE FLOWERS,THE ZAPOTE,22,3700,GOVERNMENT EMPLOYEE,TOWN,25,THE BOY,PUERICULTUR,10300,PROFESSIONAL,PROFESSIONAL,DAD
BAJA CALIFORNIA,BORDER,23,26937,Professional,FUTURE,51,THE LINGERIE,VET,4000,HIGH SCHOOL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,7500,MARINE MERCHANT,JALACINGO,32,XALAPA-ENRIQUEZ,RESEARCHER,1750,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,7000,TEACHER,VERACRUZ,38,XALAPA-ENRIQUEZ,HOUSEWIFE,14000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,42,STUDENT,COATEPEC,20,COATEPEC,STUDENT,200000,OTHER,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,4200,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,EMPLOYEE,13500,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,4000,EMPLOYEE,BUT,41,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,26,2000,EMPLOYEE,VERACRUZ,23,XALAPA-ENRIQUEZ,STUDENT,11200,PREPARATORY,PREPARATORY,MOTHER
SAN HIPOLITO,COLOGNE JANUARY 6,43,6500,SIGNWRITER,HUEHUETAN,40,REYNOSA,DENTAL SURGEON,90000,PREPARATORY,PROFESSIONAL,OTHER
COATEPEC,MADERO CITY,52,10000,ACTOR,COATZACOALCOS,51,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,OTHER
MEXICO STATE,CABORCA,31,29000,BLACKSMITH,MOCTEZUMA,74,OXTOPULCO,NURSE,2474,OTHER,HIGH SCHOOL,DAD
RAFAEL LUCIO,MACUSPANA,39,4700,MUSICIAN,OLD PLAN,36,SAN JUAN DEL RIO,BANK CLERK,23000,PROFESSIONAL,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,ITURBIDE,42,22000,EMPLOYEE,CORDOVA,24,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,PREPARATORY,DAD
NETZAHUALCOYOTL CITY,XALAPA - ENRIQUEZ,37,3000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,EMPLOYEE,2800,PRIMARY,PRIMARY,MOTHER
MACUSPANA,PASSAGE OF BUTTONS,32,6638,PAINTER,GALLEY,34,MARIANO ESCOBEDO,PUBLIC SERVER,7000,OTHER,WITHOUT SCHOOLING,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,3000,EMPLOYEE,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,EMPLOYEE,2500,HIGH SCHOOL,PREPARATORY,DAD
JILOTEPEC,BEAUTIFUL VIEW,73,5150,ING. CIVIL,SAN JUAN GUICHIC,35,RODRIGUEZ CLARA,RADIO PRODUCER,2100,PREPARATORY,HIGH SCHOOL,MOTHER
WHITE THORN,OXPANTLA,38,10,CABINETMAKER,VICTORIA CITY,75,AZCAPOTZALCO,LIC. IN LANGUAGES,120000,PROFESSIONAL,PRIMARY,DAD
XALAPA-ENRIQUEZ,COSAMALOAPAN,56,25441,BUSINESSMAN,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,HOUSEWIFE,9000,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
JULIO CASTRO,TECUANTIPAN,39,7000,COMMERCIAL,SAINT JOAQUIN,43,COYOACAN,OPHTHALMOLOGIST,36000,PROFESSIONAL,OTHER,DAD
NETZAHUALCOYOTL CITY,JILOTEPEC,64,183000,TRANSIT,NANCHITAL,67,INDIANA,MARKETING,27000,PRIMARY,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,5000,DANCER,FEDERAL DISTRICT,33,XALAPA-ENRIQUEZ,DANCER,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,JUCHIQUE DE FERRER,28,800,DRIVER,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,HOUSEWIFE,6452,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,JUCHIQUE DE FERRER,37,5000,GOVERNMENT EMPLOYEE,TANTOYUCA,38,XALAPA-ENRIQUEZ,STYLIST,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
BEAUTIFUL,VICENTE BEACH,19,1700,REPORTER,XOMOTLA,19,MARIANO ESCOBEDO,AUDITOR,4050,OTHER,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,5000,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PROFESSIONAL,PROFESSIONAL,MOTHER
FEDERAL DISTRICT,RICH POOL,46,20000,EMPLOYEE,XALAPA-ENRIQUEZ,42,TAMPICO,BUSINESSWOMAN,20000,PROFESSIONAL,PROFESSIONAL,MOTHER
THE LINGERIE,GUASAVE,37,6800,INVESTIGATOR,SAN JOSE TEPOZOTE,30,COSAMALOAPAN,PODOLOGY,3100,PREPARATORY,PRIMARY,DAD
BAR OF SANTA CRUZ,ALMOLOYA DE JUAREZ,55,2.4,ING. CHEMICAL,THREE VALLEYS,84,HOPPER,SALES,14500,PRIMARY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,18000,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,HOME DUTIES,17600,PROFESSIONAL,PROFESSIONAL,MOTHER
ALTOTONGA,PROGRESS,29,708652,SELLER,GOOD NIGHT,65,XICO,VET,3900,PROFESSIONAL,HIGH SCHOOL,DAD
MIAMI,COATEOEC,63,24000,FIGHTER,TUXPAN,66,TEOCELUS,ADMINISTRATIVE,10800,WITHOUT SCHOOLING,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,RICH POOL,39,6000,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,PUBLICIST,14500,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,5200,EMPLOYEE,COATZACOALCOS,35,COATZACOALCOS,EMPLOYEE,4769,PROFESSIONAL,PROFESSIONAL,MOTHER
CHOLULA,VEST,20,26937,AUDITOR,ESCOBEDO JOINT,49,EMILIANO ZAPATA,PHOTOGRAPHER,9200,WITHOUT SCHOOLING,WITHOUT SCHOOLING,DAD
CUAUTITLAN,SOMPAZOL,30,8800,RAILWAY,TWO RIVERS,20,AZCAPOTZALCO,Waitress,4850,PREPARATORY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,5000,BUSINESSMAN,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,BUSINESSMAN,5000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,4500,ALBAÑIL,TOTOLOCHE,48,XALAPA-ENRIQUEZ,EMPLOYEE,2500,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,25,10000,EMPLOYEE,TLAPACOYAN,25,SOLIDARITY,CHEF,12000,PROFESSIONAL,PREPARATORY,OTHER
JULIO CASTRO,THE BEAMS,41,10000,CARRIER,NUEVO LAREDO,35,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,MERIDA,46,4850,JOURNALIST,FEDERAL DISTRICT,44,XALAPA-ENRIQUEZ,HOME DUTIES,2600,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,GOOD VIEW,42,9000,TEACHER,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,PROFESSOR,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COVENTRY,39,14000,MUSICIAN,CHATTANOOGA,45,XALAPA-ENRIQUEZ,MUSICIAN,12000,PREPARATORY,PROFESSIONAL,OTHER
PEACE,Logs,37,15020,WATCHMAKER,PASSION FRUIT,22,WATER STONE,BANK CLERK,4600,HIGH SCHOOL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,4000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,HOUSEWIFE,10,OTHER,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,59,20000,PLUMBER,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,HOUSEWIFE,7500,HIGH SCHOOL,PRIMARY,DAD
INDEPENDENCE,COXQUIHUI,31,10,PUBLIC SERVER,LOMAS VIRREYES,47,VILLA INDEPENDENCIA,RADIO PRODUCER,6063.48,PROFESSIONAL,PROFESSIONAL,OTHER
WACO,TECOLAPAN,36,84000,SIGNWRITER,LAGOONS THE NEIGHBORHOOD OF LA SOLEDAD,69,PACHUCA,PRIVATE TEACHER,3100,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,43,14000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,EMPLOYEE,13000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,23,3800,MECHANICAL,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,EMPLOYEE,20000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,51,21000,OPTOMETRIST,FEDERAL DISTRICT,50,XALAPA-ENRIQUEZ,CLINICAL CHEMICAL,15000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,6000,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,ALVARADO,54,15000,EMPLOYEE,ALVARADO,41,XALAPA-ENRIQUEZ,EMPLOYEE,12000,PROFESSIONAL,PROFESSIONAL,MOTHER
THE BOY,TEPETLAN,56,6900,FARMER,ANGEL R. CABADA,21,YAUTEPEC,FAMILY DOCTOR,6800,PREPARATORY,PROFESSIONAL,MOTHER
OCOZOCOAUTLA,CARTAGENA,34,2800,SELLER,JALACINGO,49,VILLAFLORES,SUPERVISOR,1200,PROFESSIONAL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,COMALCALCO,24,17000,EMPLOYEE,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,RECEPTIONIST,31000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,52,3000,BUSINESSMAN,NEW RANCH,49,XALAPA-ENRIQUEZ,HOUSEWIFE,3000,HIGH SCHOOL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,48,2500,PHOTOGRAPHER,FEDERAL DISTRICT,44,CUAUTITLAN IZCALLI,EMPLOYEE,1400,HIGH SCHOOL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,WHITE LAND,34,20000,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,HOUSEWIFE,3800,PROFESSIONAL,PREPARATORY,OTHER
BRAVO RIVER,BRAVO RIVER,37,2070,DOCTOR,ACTOPAN,37,SALMORAL,DOCTOR,600,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TUXPAN,34,23000,EMPLOYEE,TEPEYAHUALCO,33,XALAPA-ENRIQUEZ,EMPLOYEE,31000,PROFESSIONAL,PROFESSIONAL,MOTHER
SAINT JOSEPH,THE MODEL,30,3200,UNEMPLOYED,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,CHEMISTRY,8000,PROFESSIONAL,PROFESSIONAL,DAD
MATAMOROS,CUAUTLA,66,1530,BARBER,Chives,64,COSOLEACAQUE,LIC. BUSINESS ADMINISTRATION,1700,WITHOUT SCHOOLING,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,51,6063.48,EMPLOYEE,XALAPA-ENRIQUEZ,53,XALAPA-ENRIQUEZ,EMPLOYEE,13706,HIGH SCHOOL,PRIMARY,MOTHER
CALETA DE CAMPOS,THE BOY,45,5000,TECHNICAL,XALAPA-ENRIQUEZ,45,THE TALL,ING. ELECTRICAL MECHANICS,1600,PREPARATORY,WITHOUT SCHOOLING,MOTHER
MEXICO,TEPETLAN,34,4700,BUSINESSMAN OWN ACCOUNT,MATA TEJON,26,COATZINTLA,RETIRED,15000,WITHOUT SCHOOLING,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,750000,EMPLOYEE,FEDERAL DISTRICT,31,XALAPA-ENRIQUEZ,HOME DUTIES,17000,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,6800,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,2300,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,ORANGES,47,8400,WRITER,XALAPA-ENRIQUEZ,49,XALAPA-ENRIQUEZ,POLICE,11000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,THE FRIARS,41,5000,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,3000,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,3240,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,18870,EMPLOYEE,VERACRUZ,26,XALAPA-ENRIQUEZ,EMPLOYEE,4400,OTHER,WITHOUT SCHOOLING,MOTHER
BAJA CALIFORNIA,CHAVAXTLA,62,3800,CABINETMAKER,GUADALUPE VALLEY,42,OLD PACHO,STYLIST,6800,WITHOUT SCHOOLING,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,MATA GREEN,31,3000,EMPLOYEE,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,EMPLOYEE,4000,HIGH SCHOOL,PREPARATORY,MOTHER
CHOLULA,SANTIAGO TUXTLA,27,4400,ADMINISTRATIVE,RIBEIRAO PRETO,50,EMILIANO ZAPATA,AUDITOR,11500,PROFESSIONAL,OTHER,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,50,18000,PRODUCER,XALAPA-ENRIQUEZ,56,XALAPA-ENRIQUEZ,PROFESSOR,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
FORTIN OF THE FLOWERS,RAFAEL LUCIO,50,16000,DANCER,TAMPICO,48,MARIANO ESCOBEDO,PROFESSOR,4550,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,2800,GOVERNMENT EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,VETERINARIAN,4050,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TLAPACOYAN,34,4500,EMPLOYEE,TUXPAN,35,XALAPA-ENRIQUEZ,EMPLOYEE,4400,PROFESSIONAL,PROFESSIONAL,MOTHER
MARIANO ESCOBEDO,SAN JUAN GUICHICOVI,62,10679,BUSINESSMAN OWN ACCOUNT,THE PITAL,74,FEDERAL DISTRICT,DESIGNER,1530,HIGH SCHOOL,WITHOUT SCHOOLING,OTHER
COATEPEC,CARTAGENA,19,2100,PRODUCER,COMAL IXHUATLA,55,TEZIUTLAN,ANTHROPOLOGY,301740,PREPARATORY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,CITY MENDOZA,47,708652,EMPLOYEE,MEXICALI,40,COATEPEC,HOUSEWIFE,17000,OTHER,WITHOUT SCHOOLING,OTHER
URSULO GALVAN,UNION HIDALGO,53,15600,GARDENER,POSADAS,66,LAKE HUART,PSYCHOTHERAPIST,7600,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
ALVARO OBREGON,COLONIA DEL VALLE,37,13400,UNEMPLOYED,JUCHIQUE DE FERRER,31,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PREPARATORY,HIGH SCHOOL,MOTHER
TLACOTALPAN,BARCELONA,35,300,ADVISER,SAN JUAN TEPEUXILA,58,VILLAFLORES,GOVERNMENT EMPLOYEE,15000,PREPARATORY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,50,7000,ACCOUNTANT,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,Accountant,10300,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,48,3150242,MUSICIAN,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,MUSICIAN,9000,PROFESSIONAL,PROFESSIONAL,MOTHER
LONG STEP,ESCANDON,91,3132,INSPECTOR,MINEOLA,38,COLIMA,LAUDERA,3440,HIGH SCHOOL,WITHOUT SCHOOLING,OTHER
LION,COATZINTLA,29,2100,ANNOUNCER,FEDERAL DISTRICT,84,EJIDO LOS ROBLES,COSMIATRIA,18000,PROFESSIONAL,HIGH SCHOOL,OTHER
COMMITTEE,EQUIMITE,72,1100,LOCKSMITH,TUXTLA GUTIERREZ,84,JALATLACO,OPHTHALMOLOGIST,8400,PREPARATORY,WITHOUT SCHOOLING,MOTHER
